"hh_ID","door_screens","house_type","concrete_house","water_supply_by_pipe","garbage_management","n_toilets_outside","water_supply_by_pipe_clean"
1,0,"Single",1,"Unknown","Car",0,NA
2,0,"Single",1,"1","Burn",0,1
3,0,"Poles",0,"Unknown","Burn",1,NA
4,1,"Single",1,"1","Car",0,1
5,0,"Single",0,"Unknown","Car",0,NA
6,0,"Single",1,"1","Car",0,1
7,0,"Single",1,"1","Burn",0,1
8,0,"Single",1,"1","Car",1,1
9,0,"Single",1,"1","Burn",0,1
10,0,"Poles",0,"1","Car",0,1
11,0,"Single",1,"1","Car",0,1
12,0,"Single",1,"1","Burn",0,1
13,1,"Single",1,"1","Car",0,1
14,0,"Poles",0,"1","Burn",1,1
15,0,"Single",1,"1","Burn",0,1
16,0,"Poles",0,"1","Car",1,1
17,0,"Single",1,"1","Burn",0,1
18,1,"Townhouse",1,"1","Car",1,1
19,0,"Single",1,"Unknown","Burn",0,NA
20,0,"Single",1,"1","Burn",0,1
21,0,"Single",1,"Unknown","Car",0,NA
22,0,"Single",1,"1","Burn",1,1
23,1,"Single",1,"1","Burn",0,1
24,1,"Townhouse",1,"1","Dump",0,1
25,0,"Townhouse",1,"Unknown","Car",0,NA
26,0,"Single",1,"Unknown","Car",0,NA
27,0,"Poles",0,"1","Burn",1,1
28,0,"Poles",0,"1","Burn",0,1
29,0,"Poles",0,"1","Burn",1,1
30,1,"Single",1,"1","Car",0,1
31,0,"Single",1,"Unknown","Dump",3,NA
32,0,"Single",0,"Unknown","Car",0,NA
33,0,"Single",1,"1","Burn",0,1
34,0,"Single",1,"1","Car",1,1
35,0,"Single",1,"1","Car",0,1
36,0,"Single",1,"1","Car",1,1
37,0,"Single",1,"1","Car",0,1
38,0,"Single",1,"1","Burn",0,1
39,0,"Poles",1,"1","Burn",2,1
40,0,"Single",1,"1","Car",1,1
41,0,"Single",0,"1","Car",0,1
42,0,"Single",1,"1","Burn",0,1
43,1,"Single",1,"1","Car",0,1
44,0,"Single",1,"1","Car",0,1
45,1,"Single",1,"1","Car",0,1
46,0,"Poles",0,"Unknown","Burn",2,NA
47,1,"Single",1,"1","Car",0,1
48,0,"Poles",1,"1","Car",0,1
49,1,"Single",1,"1","Car",0,1
50,1,"Single",1,"1","Burn",0,1
51,1,"Single",1,"1","Car",0,1
52,0,"Poles",0,"1","Burn",1,1
53,0,"Poles",0,"1","Car",1,1
54,0,"Poles",0,"1","Burn",1,1
55,0,"Single",1,"1","Car",0,1
56,1,"Single",1,"1","Burn",1,1
57,1,"Poles",1,"1","Burn",0,1
58,1,"Townhouse",1,"1","Car",0,1
59,0,"Single",1,"1","Car",0,1
60,1,"Single",1,"1","Car",0,1
61,1,"Single",1,"1","Car",1,1
62,0,"Single",1,"1","Car",0,1
63,0,"Single",1,"0","Car",0,0
64,1,"Single",1,"1","Car",0,1
65,0,"Single",1,"1","Car",0,1
66,0,"Single",1,"1","Car",1,1
67,1,"Single",1,"1","Car",0,1
68,0,"Single",1,"1","Dump",0,1
69,0,"Single",0,"Unknown","Car",0,NA
70,1,"Single",1,"Unknown","Car",0,NA
71,0,"Single",0,"Unknown","Car",0,NA
72,0,"Single",1,"1","Burn",1,1
73,0,"Single",1,"1","Burn",0,1
74,0,"Townhouse",1,"1","Car",0,1
75,1,"Single",1,"1","Dump",1,1
76,1,"Single",1,"1","Dump",0,1
